year,month,avg_trip_minutes,minutes_percent_change,avg_trip_miles,miles_percent_change,avg_trip_mph,mph_percent_change,avg_trip_fare,fare_percent_change
2012,11,18.31,,5.02,,16.38,,18.22,
2012,12,18.52,1.15,5.05,0.60,16.29,-0.55,18.39,0.93
2013,1,17.18,-7.24,4.94,-2.18,16.86,3.50,17.71,-3.70
2013,2,17.60,2.44,4.88,-1.21,16.38,-2.85,17.72,0.06
2013,3,17.82,1.25,5.00,2.46,16.58,1.22,18.06,1.92
2013,4,18.37,3.09,5.03,0.60,16.42,-0.97,18.23,0.94
2013,5,18.91,2.94,5.10,1.39,16.43,0.06,18.48,1.37
2013,6,19.12,1.11,5.11,0.20,16.00,-2.62,18.67,1.03
2013,7,18.27,-4.45,5.07,-0.78,16.52,3.25,18.38,-1.55
2013,8,18.08,-1.04,5.05,-0.39,16.51,-0.06,18.26,-0.65
2013,9,19.08,5.53,5.16,2.18,16.21,-1.82,18.85,3.23
2013,10,19.13,0.26,5.14,-0.39,16.06,-0.93,18.82,-0.16
2013,11,18.92,-1.10,5.07,-1.36,16.09,0.19,18.61,-1.12
2013,12,19.34,2.22,5.22,2.96,16.22,0.81,19.00,2.10
2014,1,18.45,-4.60,5.05,-3.26,16.22,0.00,18.31,-3.63
2014,2,19.04,3.20,4.98,-1.39,15.59,-3.88,18.33,0.11
2014,3,18.70,-1.79,5.08,2.01,16.09,3.21,18.49,0.87
2014,4,19.30,3.21,5.12,0.79,15.83,-1.62,18.77,1.51
2014,5,20.12,4.25,5.25,2.54,15.64,-1.20,19.30,2.82
2014,6,19.97,-0.75,5.24,-0.19,15.72,0.51,19.25,-0.26
2014,7,19.07,-4.51,5.20,-0.76,16.21,3.12,18.86,-2.03
2014,8,19.26,1.00,5.26,1.15,16.15,-0.37,19.01,0.80
2014,9,20.44,6.13,5.24,-0.38,15.41,-4.58,19.37,1.89
2014,10,20.44,0.00,5.22,-0.38,15.28,-0.84,19.32,-0.26
2014,11,20.47,0.15,5.20,-0.38,15.25,-0.20,19.25,-0.36
2014,12,20.79,1.56,5.28,1.54,15.29,0.26,19.50,1.30
2015,1,18.85,-9.33,5.07,-3.98,15.86,3.73,18.44,-5.44
2015,2,20.27,7.53,5.11,0.79,15.05,-5.11,18.97,2.87
2015,3,20.75,2.37,5.23,2.35,15.04,-0.07,19.31,1.79
2015,4,20.77,0.10,5.24,0.19,15.07,0.20,19.42,0.57
2015,5,21.35,2.79,5.36,2.29,15.08,0.07,19.82,2.06
2015,6,21.50,0.70,5.36,0.00,14.92,-1.06,19.84,0.10
2015,7,20.44,-4.93,5.33,-0.56,15.51,3.95,19.48,-1.81
2015,8,20.33,-0.54,5.40,1.31,15.63,0.77,19.57,0.46
2015,9,21.17,4.13,5.45,0.93,15.35,-1.79,19.99,2.15
2015,10,21.96,3.73,5.42,-0.55,14.76,-3.84,20.16,0.85
2015,11,21.29,-3.05,5.41,-0.18,15.19,2.91,19.94,-1.09
2015,12,21.40,0.52,5.40,-0.18,15.16,-0.20,19.93,-0.05
2016,1,20.17,-5.75,5.32,-1.48,15.58,2.77,19.38,-2.76
2016,2,20.25,0.40,5.25,-1.32,15.31,-1.73,19.26,-0.62
2016,3,20.71,2.27,5.33,1.52,15.20,-0.72,19.57,1.61
2016,4,21.32,2.95,5.33,0.00,14.90,-1.97,19.79,1.12
2016,5,22.01,3.24,5.48,2.81,14.88,-0.13,20.29,2.53
2016,6,22.19,0.82,5.46,-0.36,14.73,-1.01,20.29,0.00
